"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
46.518,9.3999,48.4461,-38.8052,-28.2001,-55.1948,-69.1743,-8.436,-3.1334,41.6972,131.8409,51.3382,3.1334,-29.6461,
40.8347,22.9359,59.6394,-22.3769,-12.4081,-37.7831,-50.9239,-12.2683,11.1546,25.0954,112.8435,44.4019,-3.3213,-13.7674,
24.2846,35.6597,56.1814,-6.9343,2.4364,-21.4161,-36.1787,-25.6322,24.5854,9.4897,91.9729,27.6378,-17.222,-8.4824,
8.7275,33.5203,59.0775,4.087,-1.0841,-6.0312,-36.9003,-38.1943,37.2102,-5.1797,72.3545,22.0026,-30.2887,3.1138,
16.8805,18.9758,56.015,5.2878,-1.0189,-0.0050932,-20.5862,-49.8819,49.0776,-18.9689,61.2644,29.3593,-26.0612,1.4809,
29.8472,15.4269,49.2794,3.5245,2.4165,-1.4513,-10.3127,-32.789,56.9791,-26.2666,67.7116,38.6848,-10.3975,1.3918,
14.559,8.7167,38.6099,-10.787,-0.62079,-13.8972,-23.794,-25.1575,40.5449,-10.5906,77.7489,27.687,-9.412,-12.7917,
10.0703,22.2937,50.3933,-6.8858,7.3702,-0.28917,-20.5584,-28.2276,37.8715,-20.4397,58.984,29.1591,-13.909,-1.5394,
12.5992,21.3176,51.5876,6.7836,-7.172,-5.8155,-22.4585,-16.17,24.2707,-5.1133,62.1937,33.4347,-13.3155,-1.2062,
-2.2567,6.5411,34.3924,8.3049,-10.2364,6.1027,-9.5417,-29.2998,36.9144,-18.9065,44.3621,17.3287,-26.6166,-3.5438,
-16.2213,-0.60003,18.2288,1.5399,0.018981,16.3416,2.1182,-41.6418,48.7996,-31.8721,27.6004,2.1889,-39.1196,5.8276,
-1.148,8.1131,30.3916,-4.3371,1.9458,1.2611,-12.1089,-25.0433,38.3999,-15.8598,40.0444,16.1576,-22.6724,4.5139,
13.0208,6.662,34.8346,-18.1769,-12.2709,-12.9146,-25.4823,-9.4407,21.9959,-0.80823,51.7417,27.3601,-7.2121,-9.857,
26.3396,2.6469,28.1651,-26.3659,-25.6347,-26.2397,-38.0534,5.2258,6.5762,13.3403,62.3755,20.6571,7.3207,-23.3655,
10.6592,4.175,16.5932,-10.6839,-9.9966,-10.5653,-21.6702,-9.1878,20.2816,-1.5602,44.533,5.3177,-7.2186,-23.1689,
-4.0803,10.6732,7.4027,4.0571,4.7032,4.1686,-6.27,-22.7365,33.1647,-15.5665,27.761,-9.1014,-20.8855,-7.6788,
-17.9355,15.8176,21.0585,9.1164,0.08268,4.5213,-6.7376,-35.4723,17.0748,-0.53255,11.9954,-7.5911,-32.5272,4.7128,
-2.7594,3.7813,28.3516,-5.5305,-14.0223,-9.8499,-20.4334,-19.244,1.9503,13.5994,25.3756,6.9644,-16.4755,-9.67,
11.5062,-8.4968,15.5632,-19.2987,-27.2809,-23.3589,-33.3074,-3.9893,-12.2667,26.8834,37.9531,20.6465,-1.387,-23.1898,
-3.2842,5.2695,11.9784,-11.8743,-11.5441,-7.8574,-17.2089,-17.85,2.5693,28.2832,21.5759,5.3077,-15.4038,-7.6984,
-17.1871,-4.2057,-2.8403,2.9382,3.2486,6.714,-2.0764,-30.879,16.5151,12.4862,6.1814,-9.1107,-28.5796,6.8635,
-30.2559,10.1467,2.7528,7.9441,5.705,16.6753,11.3048,-43.1262,19.2604,16.1963,-8.2895,-22.6641,-40.9648,9.103,
-14.3406,10.3814,16.6876,-6.6326,-8.7373,1.5748,-3.4735,-26.4387,4.0047,29.3245,6.3078,-7.2042,-24.4069,-5.5432,
0.61987,-4.3415,1.5864,-20.3346,-22.3131,-12.6197,-17.3651,-10.7524,-10.3355,41.6651,20.0294,7.328,-8.8425,-19.3106,
4.3185,10.019,13.5427,-5.0146,-14.9488,-25.9625,-29.5795,-24.2072,-10.9207,41.3343,4.7276,10.8652,-15.4221,-4.0519,
-10.0406,9.6592,-1.3698,9.3863,0.048167,-10.3048,-13.7048,-36.8548,3.8345,24.7543,-9.656,-3.8867,-28.5967,10.2912,
-23.5382,0.40227,-6.7108,8.1,8.3605,4.4135,1.2175,-48.7435,17.7045,9.169,-23.1767,-17.7535,-40.9809,10.3968,
-8.0259,-3.719,7.7919,-6.486,-6.2412,-9.9513,-12.9555,-31.7189,2.5422,22.7189,-7.6861,-9.2165,-24.4221,-4.327,
6.5556,-15.7883,4.3112,-20.1968,-19.9667,-23.4542,-26.2782,-15.7158,-11.7103,35.4557,6.8751,3.1465,-8.8568,-18.1673,
20.2623,-0.74096,18.1526,-4.885,-4.6687,-9.6343,-10.6015,-0.67281,-24.5052,43.9336,17.4291,8.9833,5.7747,-13.221,
4.9466,13.4035,2.9634,9.5081,9.7114,5.0437,4.1346,-14.7324,-8.9349,27.1975,2.2833,-5.6557,-8.6718,1.6722,
-9.4502,2.4763,-11.3144,12.0708,11.2981,8.9593,-3.5853,-27.9485,-11.4114,11.4657,-11.9537,-19.4164,-22.2515,15.6719,
-2.4958,-2.0109,-5.9352,-2.7534,-3.3593,-5.6783,-10.6013,-12.1716,-15.0653,24.8778,2.8636,-4.1514,-6.8164,3.8854,
11.754,-6.2286,0.68733,-16.6882,-16.6552,-19.4376,-23.4624,2.6587,-13.6796,37.4851,16.7918,10.1977,7.6926,-10.4477,
2.7331,-3.9268,-0.31789,-13.9997,-1.5559,-13.2099,-8.5572,15.8762,-2.7355,43.9127,16.2668,5.2476,7.5925,-16.931,
-11.5309,6.6731,-9.2169,0.9403,12.6375,1.6827,6.0562,0.8236,1.5259,27.178,1.1907,-9.1672,-6.9631,-1.8151,
-24.939,14.4674,-5.2894,10.6456,3.6844,12.7895,-1.4175,-13.3258,-12.5449,11.4473,-12.9807,-12.1119,-20.6453,11.9116,
-9.3427,11.9124,6.3564,9.2837,5.6327,13.2272,8.0675,-6.5007,0.98202,8.1091,-15.3356,2.7148,-13.863,5.1716,
2.9077,-2.7819,2.1184,-4.7709,-3.8645,-0.09971,3.7269,-0.32609,1.8872,3.284,-13.9333,9.4211,-6.2825,1.0047,
1.287,-1.1687,-0.90079,-8.3408,-6.0427,-8.2887,-8.5476,13.7935,6.1127,17.187,1.0027,6.9276,7.1099,2.3907,
-2.8876,6.8552,-1.5701,-3.2613,-1.5828,-13.8171,-14.5429,8.7478,0.2019,16.7584,3.9553,5.3067,7.4062,6.3446,
5.9626,8.3718,8.6472,-0.17288,1.4044,-13.9522,-11.2597,18.8282,-13.9102,29.7324,12.8768,6.9167,6.962,-1.2667,
-8.4952,7.6283,6.4409,6.3447,11.2023,0.98494,3.5158,3.5985,-3.5549,13.8485,-1.9958,-7.5983,-7.5557,-1.4319,
-22.0855,3.0733,-7.2019,5.7231,10.7712,15.0258,17.4049,-10.7174,10.7584,-1.0824,-15.976,-21.0017,-21.2024,12.3924,
-6.6603,1.4431,-0.50282,2.9696,7.7148,0.38597,3.1042,4.0257,15.0539,13.0825,-0.91748,-5.6416,-5.8302,9.7206,
7.8393,0.39238,7.7223,-4.4392,-6.8481,-13.7372,-11.182,17.8841,0.050638,26.3976,13.2376,8.7969,8.6196,-4.9626,
21.4689,-2.5235,9.1869,-15.7422,-20.5372,-27.013,-24.6111,30.9111,-14.0524,38.9137,26.5433,22.3691,22.2024,-18.7649,
6.0808,2.9304,-4.3799,-0.6977,-5.205,-11.2922,-9.0345,14.9564,0.89074,22.4789,10.8507,6.927,6.7703,-3.539,
-8.3841,-1.3426,-18.2172,7.6596,9.2073,3.4854,5.6076,-0.040975,14.9373,7.0302,-3.9003,-7.5887,-7.7359,10.7734,
-21.981,12.2353,-3.0241,10.5745,8.8958,15.5685,16.1174,-14.1385,8.0155,-7.4916,-17.7663,-19.0642,-21.3718,9.886,
-6.5622,-2.5988,-3.3246,-4.16,-5.7379,0.53441,1.0504,0.80979,-6.5654,7.0578,-2.6003,-3.8203,-5.9895,-4.8072,
7.9316,-16.5429,-17.2251,-18.0104,-19.4936,-13.5977,-13.1127,14.8612,-20.2715,20.7344,11.6557,10.5089,8.4699,-18.6187,
-2.9084,-1.4503,-2.8143,-2.8298,-4.224,-0.48927,1.7741,-0.13047,-4.9552,5.3903,-3.1437,0.96075,-5.7769,-3.4016,
-16.8339,-13.5351,-16.7454,10.2347,10.1294,13.6401,15.7677,-14.2226,9.4421,-9.0331,-17.055,-13.1969,-19.5302,10.9025,
-29.9239,1.377,-14.6561,12.2722,13.378,26.9217,28.9216,-27.4693,5.5011,-22.5911,-30.1317,-26.5051,-32.4584,8.8021,
-14.0284,-4.3702,-6.0642,-2.5642,-1.5246,11.2064,13.0863,-11.7211,-8.9289,-7.1357,-14.2238,-10.8148,-16.4109,-5.826,
0.91326,-18.2079,-17.9925,-16.5103,-15.5332,-3.566,-1.7989,3.0821,-22.4932,7.3925,0.7296,3.9341,-1.3263,-19.5765,
1.5816,-3.0155,-2.813,-1.4197,-6.8882,-9.3778,-14.3449,-2.7669,-20.6614,-7.1511,-8.8344,0.082414,8.1535,-10.6889,
-12.6133,9.217,-16.7442,12.7655,7.6251,5.2848,0.61578,-16.7009,-5.3218,-20.822,-22.4044,-14.0225,-6.4357,4.0524,
-25.9565,-1.2182,-27.7908,10.7943,11.8674,19.0678,12.5094,-29.7988,-4.641,-33.6727,-35.1601,-27.2812,-20.1495,15.258,
-10.2991,-2.8321,-12.0233,-3.9534,-2.9447,3.8237,-2.3411,-13.9109,-18.4625,-17.5523,-18.9505,-11.5443,-4.8406,0.2425,
4.4188,-16.7622,-12.1453,-17.8162,-16.868,-10.5057,-16.3007,1.0238,-31.4548,-2.3992,-3.7135,3.2484,9.5499,-13.8721,
18.2537,-1.6564,2.6834,-2.6472,-1.7559,0.97064,-1.2226,15.0623,-24.747,11.8448,10.6093,17.1534,23.0769,-0.024311,
3.0585,12.543,-9.6499,11.6116,12.4494,15.0124,12.9507,0.0586,-9.1622,-2.9659,-4.1272,2.0242,7.5923,14.0771,
-11.225,12.875,-17.0246,17.1817,17.0049,12.7859,9.7638,-14.0449,4.0413,-16.888,-17.9796,-12.1972,-6.9633,12.8711,
3.5485,7.7641,-1.9031,5.5455,2.9692,-2.0813,0.98281,0.89778,-10.3012,-1.7747,-11.4779,2.6346,7.5545,3.4217,
17.4356,-6.8017,-1.6685,-8.8873,-11.309,-16.0564,-13.1762,14.9439,-23.7831,12.4318,3.3108,4.6459,21.2013,-10.8836,
12.4127,6.26,0.11899,-4.3768,3.4696,-8.103,-3.106,28.1473,-21.6329,16.6272,6.8481,-6.9609,34.0292,-4.8073,
-2.4321,15.2848,4.6915,9.9858,17.3614,6.4832,11.1804,12.3584,-6.2349,1.5296,-7.6628,-17.3896,17.8874,9.5811,
-9.8786,12.1978,15.738,8.7839,15.2351,-2.2214,12.7991,-1.519,-13.6942,-11.9396,-21.303,-10.8029,2.7142,5.0293,
-2.055,2.7893,7.0809,0.062155,12.8752,3.6965,13.4774,-8.6584,1.2275,-24.7206,-34.1248,-12.5648,3.0333,-8.7699,
-1.2088,1.8991,-6.1179,-5.9671,8.9692,7.0901,6.1613,-2.5953,-2.5819,-21.5497,-41.1155,-5.303,6.9486,-1.2538,
6.0946,6.6054,-3.8231,-3.6811,10.3593,-5.3866,-5.2958,11.6604,-16.4067,-6.1567,-24.5486,1.7636,20.6317,2.6778,
18.5031,13.1987,6.2884,7.8679,8.5326,-17.3555,-15.8244,25.0608,-18.0736,8.3127,-11.386,10.0937,31.0834,2.7579,
31.3722,15.2993,16.9983,4.9853,10.4308,-14.8683,-15.839,28.8593,-24.7022,21.9139,-2.5082,8.0418,26.8083,-11.5076,
16.7159,15.5866,11.3992,5.8919,23.905,0.12376,-0.78865,13.0278,-9.1201,6.4991,-16.4577,-6.5407,11.0998,-10.9374,
1.6129,9.8307,-3.3848,8.9124,36.5707,14.2163,13.3587,-1.8539,5.5271,-7.9909,-29.5702,-20.2482,-3.6662,2.2523,
13.9289,15.2664,3.9284,7.6547,21.602,16.9788,10.3882,4.2831,-8.9045,-15.5861,-28.5189,-18.31,-9.472,-11.9828,
27.1932,10.7352,6.344,-6.9045,6.2059,1.86,-4.3351,18.1261,-22.4702,-0.55092,-12.7078,-4.9191,5.1963,-25.3638,
28.0922,-4.0089,-8.1366,-20.5903,-8.2665,-12.3516,-18.175,31.1385,-35.222,13.5821,2.1547,-7.0341,18.9846,-37.942,
12.3067,10.3317,1.3901,-5.2549,6.3295,2.4895,-2.9845,15.1702,-19.0087,-1.3328,-12.0746,-13.6017,3.7455,-21.5655,
-2.5317,2.4807,-12.7933,9.1604,20.0497,16.4402,11.2946,0.16002,-3.7682,-15.3528,-25.4501,-26.8856,-10.5792,-6.1715,
-10.8155,16.4319,0.86881,14.1542,17.1597,29.5538,18.5704,-13.9496,-10.6522,-26.242,-38.0231,-12.378,-19.3445,8.2987,
3.9334,1.3459,-13.2833,-0.79506,2.0302,13.6805,3.3562,0.9874,-24.1131,-10.5675,-21.6417,-1.5119,-4.0838,-6.2992,
9.8435,-12.8348,-26.5863,-14.8474,-12.1917,-1.2403,-10.9452,15.0282,-36.7663,4.1666,-6.2432,-3.8316,10.2612,-20.0212,
0.57621,2.0353,-10.8911,0.14349,-6.3987,3.5341,3.8115,0.026462,-20.4603,-10.1834,-19.9686,-1.1915,0.7277,-4.72,
-13.5584,-7.4864,-24.3377,14.2349,3.3852,17.4221,17.6829,-14.0751,-5.1327,-23.6724,-32.8705,-15.22,-13.416,9.6632,
-26.8449,6.7009,-8.7774,23.9861,9.6898,21.077,26.7452,-27.3306,9.2753,-36.3521,-44.9983,-24.7912,-21.1672,23.1834,
-11.1342,-7.8012,-18.7351,8.4469,-4.9916,5.7124,11.0405,-11.5908,-5.3813,-20.071,-28.1984,-9.2037,-5.7971,7.6924,
3.6339,-21.4331,-21.4675,-6.1599,-18.7921,-8.7304,-3.7219,3.2047,-19.1584,-4.7667,-12.4065,5.4485,8.6507,-6.8691,
7.9954,-6.0471,-6.0795,-3.8621,-8.9875,-16.4015,-5.9089,12.6536,-3.9089,7.2092,-5.8777,16.6907,22.2317,-10.9162,
-6.5844,-2.4303,-14.271,10.4696,5.6518,-1.3174,8.5456,-2.2056,10.4257,-7.3234,-19.6251,1.5893,6.7978,3.8388,
-20.2893,0.36683,-13.174,21.0489,6.8792,12.8616,22.1329,-16.1733,2.931,-20.984,-32.5476,-12.6061,-7.7101,17.7084,
-7.9849,-5.9219,-8.045,5.686,-7.6336,-2.0101,6.7049,-1.1029,-11.3449,-5.6249,-16.4947,2.2503,6.8525,10.8611,
0.20716,-19.6666,-21.5418,-8.7552,-21.2755,-15.9895,-7.7974,13.0633,-24.7642,8.8126,-1.405,16.2153,20.5413,-3.8906,
2.8458,-6.556,-6.1493,-15.9426,-6.5017,-14.5482,-7.3298,15.1715,-30.5092,14.5503,12.7793,9.9397,33.4089,-12.4545,
-11.4249,1.3094,-4.4546,-0.88608,7.9884,0.42473,7.21,0.16125,-14.5786,-0.4227,-2.0875,-4.7567,17.3043,2.3928,
-24.8394,15.3308,8.5869,13.2671,7.3884,14.4992,20.8774,-13.9484,0.39608,-14.4973,-16.0622,-6.7611,2.1661,16.3492,
-9.2491,17.9061,11.4464,12.2303,-2.6956,5.6756,10.7074,0.98848,-4.2067,0.4725,-7.2648,7.7445,16.1361,5.0044,
3.4777,2.7318,-3.3404,-2.6035,-16.6339,-8.765,-4.0351,15.0292,-18.0543,11.6521,7.2711,11.4979,29.2679,-4.9371,
-4.926,-1.6505,-8.3222,0.56537,-5.8743,-14.8674,-12.3497,28.2274,-2.8711,25.053,20.2116,21.4132,36.4294,9.4592,
-18.7305,7.1257,-3.9664,10.1723,4.119,-5.2984,2.3707,12.4338,11.4012,9.4498,4.8989,13.3796,20.1436,22.9916,
-15.0757,2.3596,4.4665,-1.0431,8.6924,-6.4265,5.1207,-2.4123,3.8475,-5.2172,-9.2542,10.1665,6.5221,16.5507,
