"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
52.5434,-33.7436,91.1077,-19.2822,-57.8463,48.2051,1.9284,-11.087,42.4205,-1.9284,74.2359,-6.2667,22.1742,-4.8205,
48.9088,-29.3086,82.2668,-12.8226,-62.0883,37.1181,2.7766,-10.4218,30.2343,-6.151,65.4434,-8.7828,8.3107,-2.6031,
43.0825,-24.6576,79.2592,-4.8222,-55.4704,29.1066,-0.2823,-9.3145,34.687,0.48477,62.9629,-11.6303,5.8837,-5.3392,
43.3896,-21.7323,79.8063,-0.19451,-39.609,35.5549,1.6628,-8.7559,42.7287,-1.4725,57.7388,-14.7891,11.7972,-4.5369,
46.5708,-23.8029,75.4999,-5.4857,-37.2327,28.119,-2.2933,-4.8561,31.4878,2.4722,60.541,-9.5632,7.7149,-3.3003,
40.4019,-23.3388,68.5595,-6.6024,-34.0346,23.0572,7.9674,-15.1698,31.0451,-11.7761,44.3753,-14.292,2.9139,-5.0307,
35.8086,-24.5895,68.5433,-7.8935,-26.9308,16.6125,9.6585,-11.1261,29.9053,-9.2618,47.7388,-13.1931,8.2827,-8.8263,
30.5268,-23.3554,64.6719,-10.0714,-18.8073,14.8926,-1.2851,-3.4691,26.9059,1.658,50.4178,-9.2685,9.9547,-8.0557,
29.4181,-15.9285,56.6938,-5.3695,-7.7969,19.5427,2.4074,-9.2868,27.4607,-5.4314,38.9566,-10.8818,6.2239,-1.0647,
31.7508,-20.5162,52.5692,-9.6269,-9.4983,4.2701,-0.8705,-8.4884,14.0029,1.4024,46.9836,-13.3621,2.2355,-8.9548,
30.5687,-15.1876,53.9948,0.35096,-3.3847,5.5804,3.2791,-5.3277,22.0808,-7.5998,39.5853,-13.2833,6.1987,-6.73,
28.9758,-11.1431,51.4783,3.4632,2.362,9.3432,-0.050914,-2.8387,19.0685,-6.4207,33.1126,-8.8709,3.6579,-3.193,
31.5755,-13.849,47.9072,-5.9039,9.933,7.8183,1.3984,-2.6686,13.1041,-0.25083,35.4641,-6.8926,3.4379,-9.2681,
27.5118,-9.8848,44.3099,-1.934,13.4346,11.9289,8.7863,-6.6056,20.7536,-12.5283,22.49,-10.5766,1.0625,-5.0964,
26.1021,-8.0866,43.3385,0.35119,5.6387,5.1872,-1.1409,2.2264,11.0727,2.3234,29.0948,-6.8085,-2.1347,-1.6576,
26.4642,-7.119,41.2201,0.81205,9.6391,12.1072,2.302,-0.79923,7.9982,-3.4799,21.0826,-4.4718,0.40393,-0.11186,
27.5276,-5.4868,41.3982,1.0045,9.7839,8.7295,-0.48741,2.382,4.385,-0.13783,22.9509,-0.10594,2.0671,3.0281,
25.8759,-9.4961,37.468,-2.9122,6.3042,-3.8459,-6.7248,4.6493,9.9064,5.173,32.1786,-3.4741,1.4606,-0.52791,
20.4673,-11.3365,29.9176,-2.2552,10.2646,1.6878,0.90941,-6.7168,18.9529,-9.2374,18.1971,-5.1935,2.3372,1.914,
24.0597,-8.7282,33.9073,-3.5662,6.2743,-4.6802,-0.59141,2.3631,3.7157,0.11431,30.6024,9.0974,2.6791,0.83507,
20.9286,-8.9277,35.488,-4.0755,7.585,-9.9434,5.9519,-1.3942,8.675,-7.3642,27.0792,-0.8486,1.7951,-7.1689,
13.8882,-12.2485,29.9841,-9.1335,10.0223,-11.757,7.0409,-4.6849,11.5284,-12.2251,18.7054,-7.5465,1.2054,-9.149,
11.368,-14.1648,26.4982,-13.647,3.395,-7.436,0.59281,3.55,4.3291,-3.5378,21.6808,1.3423,-0.072128,-7.877,
8.9988,-8.2532,25.6313,-6.8025,5.3608,2.41,6.5829,0.68584,12.5056,-15.1355,9.5338,3.4313,-0.79082,0.067498,
9.6639,-12.8196,25.2985,-7.5994,6.7262,-11.8346,-0.80194,1.8498,5.7295,-0.1274,22.7003,7.8047,5.2824,0.78658,
8.361,-15.1837,20.1654,-4.9743,5.1176,-14.8602,-1.4767,-3.3227,19.4857,4.58,22.0614,6.6133,9.0626,1.4623,
7.1364,-11.6216,16.7863,-2.5067,-4.1076,-6.4968,-2.5934,-1.4363,28.319,1.1722,16.6399,7.9035,1.5294,5.4721,
0.44114,-14.7806,14.3328,-10.069,-14.4663,-8.9994,-16.5378,2.9885,12.5199,6.4042,20.4621,8.3935,-7.2393,0.80537,
1.3791,-4.7348,17.3293,2.1042,-9.7418,1.1814,-10.6046,3.291,8.5149,0.23521,11.0398,10.3001,-9.2152,9.4338,
-0.14967,-9.2712,12.9153,-4.7705,-13.9778,-12.3868,-14.7886,3.0938,4.1474,11.7905,14.2336,10.6462,-16.8572,2.6013,
0.82341,-8.233,14.5503,-4.0023,0.96089,-10.6795,-2.8142,0.015876,10.6477,16.3855,13.8617,8.0792,-6.6868,0.51699,
-0.67226,-5.3287,12.2315,2.5043,-0.66351,-12.931,-0.71697,-1.9135,7.1163,15.4024,5.3172,6.1485,-3.3933,2.8961,
2.2601,-9.3475,8.1231,-7.2869,-1.5878,-19.8679,-6.4588,4.9502,5.725,25.5654,14.1572,7.2256,-3.1897,-4.0263,
-7.0345,-16.0175,-4.4158,-20.347,12.6075,-9.0349,1.6418,-9.4468,5.8639,9.9315,-0.7922,-7.3079,-5.8908,-10.5334,
-2.997,-14.3331,-1.0174,-16.4749,23.059,-10.18,2.2662,-9.4826,-8.5879,-4.7644,0.58088,-8.436,-4.814,-6.7682,
8.5112,-10.3401,8.9258,-8.0148,9.3829,-10.7743,2.3714,-2.406,-6.9883,5.8856,7.5357,-3.3505,-3.3201,-4.1929,
6.7953,-6.5862,7.6669,-4.4004,0.86596,-4.5842,1.0238,-4.9129,7.531,3.3633,-6.6548,-6.7649,-4.8081,0.156,
4.4594,-4.2628,9.6175,-0.76196,1.2962,-6.2374,-3.3759,6.4691,4.7897,12.3205,7.8445,6.1745,-2.5914,4.4854,
-0.86943,-4.73,7.3532,1.9351,0.013333,-4.1759,1.4059,-0.90849,17.7587,-2.5187,7.9765,4.5992,-2.6769,4.9392,
